Site Address,Nickname,Lot Size (SF),Building Size / Office Portion ONLY (SF),Monthly Rate (all in),Generated
1335 S Grand Ave,Tesla,51884,"40,000",48067,2026-08-26 10:40
5880 Adams Blvd,,57935,"23,951",65865,2026-08-26 10:40
11040 W Pico Blvd,Pico Plaza,69632,"20,229",127038,2026-08-26 10:40
1100 N Alameda St & 201 Sotello St,Bus Depot,"97,396 SF (1100 Alameda, no bldg) + 158,995 SF (201 Sotello)","13,873",135787,2026-08-26 10:40
1615 McGarry St,,47112,"40,107",30080,2026-08-26 10:40
3115 S Sepulveda Blvd,Big Lots,29621,"28,746",,2026-08-26 10:40
11674 Santa Monica Blvd,,116230,TBD,208333,2026-08-26 10:40
2440 S Sepulveda Blvd,,279220,"15,766",30744,2026-08-26 10:40
5500 W Century Blvd,Fox Rent-A-Car (LAX),170000,"75,450 / 15,000",144864,2026-08-26 10:40
11801 W Olympic Blvd,Olympic Big Box,71438,"50,000",237500,2026-08-26 10:40
1601 Perrino Pl,1601 Perrino Pl (Bldg B&C),138085,"70,565",,2026-08-26 10:40
777 E Washington Blvd,,27721,"24,786 / 6,000",,2026-08-26 10:40
1614 E 7th St,1614 E 7th St (Alameda Crossing),112836,"108,881",,2026-08-26 10:40
1801 Santa Monica Blvd,,54014,TBD,,2026-08-26 10:40
1600 S Figueroa St,,65340,"19,458",83333,2026-08-26 10:40
1800 S Figueroa St,,15246,"30,070",,2026-08-26 10:40
667 S Santa Fe Ave,,38770,"29,238",,2026-08-26 10:40
1627 E 22nd St,,54014,"30,000 / 2,700",15000,2026-08-26 10:40
